date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:07	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Apr%202022%2000:00:07%20GMT	https://dappfixing.com/robots.txt		(from )
20:00:07	15395/15395	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jan%202022%2020:26:04%20GMT	https://dappfixing.com/	C:/Users/hp/Downloads/men/dappfixing.com/index.html	(from )
20:00:08	5460/5460	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/main.css	C:/Users/hp/Downloads/men/dappfixing.com/main.css	(from https://dappfixing.com/)
20:00:08	2399/2399	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/logo.svg	C:/Users/hp/Downloads/men/dappfixing.com/images/logo.svg	(from https://dappfixing.com/)
20:00:08	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=metamask	C:/Users/hp/Downloads/men/dappfixing.com/addresse3b7.html	(from https://dappfixing.com/)
20:00:09	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=MEW	C:/Users/hp/Downloads/men/dappfixing.com/address7222.html	(from https://dappfixing.com/)
20:00:09	43308/43308	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/metamask.png	C:/Users/hp/Downloads/men/dappfixing.com/images/metamask.png	(from https://dappfixing.com/)
20:00:09	4744/4744	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/MEW.png	C:/Users/hp/Downloads/men/dappfixing.com/images/MEW.png	(from https://dappfixing.com/)
20:00:09	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=trustwallet	C:/Users/hp/Downloads/men/dappfixing.com/addressef64.html	(from https://dappfixing.com/)
20:00:10	26907/26907	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/trustwallet.png	C:/Users/hp/Downloads/men/dappfixing.com/images/trustwallet.png	(from https://dappfixing.com/)
20:00:10	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=logo	C:/Users/hp/Downloads/men/dappfixing.com/address8ebe.html	(from https://dappfixing.com/)
20:00:10	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=coinbase	C:/Users/hp/Downloads/men/dappfixing.com/address5f38.html	(from https://dappfixing.com/)
20:00:11	4308/4308	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/coinbase.jpg	C:/Users/hp/Downloads/men/dappfixing.com/images/coinbase.jpg	(from https://dappfixing.com/)
20:00:11	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=atomic	C:/Users/hp/Downloads/men/dappfixing.com/address92e7.html	(from https://dappfixing.com/)
20:00:12	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=03	C:/Users/hp/Downloads/men/dappfixing.com/address151a.html	(from https://dappfixing.com/)
20:00:13	75125/75125	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/03.png	C:/Users/hp/Downloads/men/dappfixing.com/images/03.png	(from https://dappfixing.com/)
20:00:13	442212/442212	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/atomic.png	C:/Users/hp/Downloads/men/dappfixing.com/images/atomic.png	(from https://dappfixing.com/)
20:00:13	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=binance	C:/Users/hp/Downloads/men/dappfixing.com/address49f6.html	(from https://dappfixing.com/)
20:00:14	1492/1492	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/binance.png	C:/Users/hp/Downloads/men/dappfixing.com/images/binance.png	(from https://dappfixing.com/)
20:00:14	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=Ronin	C:/Users/hp/Downloads/men/dappfixing.com/addressddba.html	(from https://dappfixing.com/)
20:00:14	4200/4200	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jan%202022%2020:20:40%20GMT	https://dappfixing.com/images/Ronin.jpg	C:/Users/hp/Downloads/men/dappfixing.com/images/Ronin.jpg	(from https://dappfixing.com/)
20:00:15	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=1inch	C:/Users/hp/Downloads/men/dappfixing.com/address4581.html	(from https://dappfixing.com/)
20:00:15	7813/7813	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2016:48:04%20GMT	https://dappfixing.com/address.html?type=bnb	C:/Users/hp/Downloads/men/dappfixing.com/address3664.html	(from https://dappfixing.com/)
20:00:16	2600/2600	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:20:42%20GMT	https://dappfixing.com/images/bnb.png	C:/Users/hp/Downloads/men/dappfixing.com/images/bnb.png	(from https://dappfixing.com/)
